"StrongUp","Neutral","Neutral","WeakUp","?","Neutral","Neutral","Dry","Neutral","Clear","Clear","Clear","Clear","None","Strong","Other","None","Weak","None","Marked","IncCapDecIns","Increasing","Negative","Increasing","SIG","May15_Jun14","B","AB","PartInhibit","LessThanAve","Average","ABI","N5GtLIGt_8","Stability","Average","Average","B","None","Moderate","Strong","B","XNIL","XNIL","SIG","LowNHighS","ModerateOrLe","Dry","CloseToDryAd","NoMajor","DryMMoistL","DenvCyclone","NegToPos","None","NWQuad","LVorOther","DenvCyclone"
"StrongUp","StronUp","Down","Neutral","Neutral","Wet","Neutral","Neutral","Neutral","PC","PC","PC","Clear","None","Weak","StrongWest","None","Strong","Strong","None","DecCapIncIns","Decreasing","StrongPos","Increasing","SIG","Aug20_Sep15","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","?","LessUnstable","Average","D","None","Moderate","Moderate","D","XNIL","XNIL","SIG","LowSHighN","Steep","Average","CloseToDryAd","StrongFront","Other","DryLine","SigPositive","None","LV","LVorOther","SEQuad"
"Down","Neutral","WeakUp","Down","Down","Neutral","Neutral","Neutral","Dry","Clear","PC","PC","PC","Strong","Strong","Westerly","Strong","Strong","Weak","Some","LittleChange","LittleChange","WeakPos","LittleChange","SVR","Aug20_Sep15","I","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","None","Weak","Moderate","I","SVR","SVR","SVR","LowSHighN","Stable","Average","CloseToDryAd","NoMajor","DryMMoistL","E_W_S","LittleChange","Moving","NWQuad","LVorOther","E_NE"
"WeakUp","WeakUp","StrongUp","StrongUp","StrongUp","Neutral","Neutral","Neutral","?","Clear","Cloudy","Clear","Clear","Strong","Strong","StrongWest","Weak","Weak","Weak","Some","DecCapIncIns","Decreasing","StrongPos","Increasing","SVR","Jun15_Jul1","E","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Moderate","Strong","E","SIG","SIG","SVR","LowAtStation","Steep","Dry","Steep","OtherRapid","Other","None","PosToNeg","None","AllElse","Westerly","LongAnticyc"
"StrongUp","Down","WeakUp","Neutral","Neutral","Wet","Neutral","Wet","VeryWet","PC","Clear","Clear","Clear","Strong","Strong","Other","None","Weak","None","Some","LittleChange","LittleChange","Negative","LittleChange","SIG","May15_Jun14","B","AB","PartInhibit","LessThanAve","LessThanAve","ABI","LIGt0","Neutral","LessUnstable","LessUnstable","B","PartInhibit","Strong","Moderate","B","SVR","SVR","SVR","LowSHighN","Stable","Average","ModerateOrLe","OtherRapid","DryMMoistL","E_W_S","LittleChange","Other","AllElse","LVorOther","?"
"StrongUp","Neutral","Neutral","StrongUp","StrongUp","Dry","Neutral","Wet","VeryWet","Clear","PC","Clear","Cloudy","?","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","Aug11_Aug20","I","CThruK","PartInhibit","Average","MoreThanAve","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","HI","None","Weak","Slight","I","XNIL","XNIL","SVR","LowSHighN","ModerateOrLe","Dry","CloseToDryAd","MarkedUpper","DryMMoistL","MovingFtorOt","LittleChange","QStationary","AllElse","Westerly","DenvCyclone"
"Down","Neutral","Neutral","Down","Down","Neutral","VeryWet","Wet","Wet","PC","PC","PC","Clear","Strong","Strong","DCVZFavor","Strong","Weak","Weak","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","May15_Jun14","G","CThruK","PartInhibit","?","MoreThanAve","G","N5GtLIGt_8","Stability","Average","MoreUnstable","GJ","Stifling","Unfavorable","None","G","XNIL","XNIL","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","DryLine","PosToNeg","None","SWQuad","Westerly","SEQuad"
"Down","WeakUp","StrongUp","Neutral","Neutral","VeryWet","Neutral","VeryWet","VeryWet","Clear","Clear","Clear","PC","None","Weak","DCVZFavor","Strong","None","Strong","None","DecCapIncIns","Decreasing","Neutral","Decreasing","SIG","Jul16_Aug10","B","AB","None","LessThanAve","LessThanAve","ABI","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","B","Stifling","Unfavorable","None","B","SVR","SIG","SIG","HighEvrywher","Steep","Average","CloseToDryAd","NoMajor","DryMMoistL","?","LittleChange","QStationary","AllElse","LVorOther","DenvCyclone"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","Dry","Dry","VeryWet","VeryWet","Clear","PC","Clear","Clear","None","None","DCVZFavor","None","Strong","Weak","None","LittleChange","LittleChange","Neutral","Decreasing","XNIL","Jul16_Aug10","H","CThruK","PartInhibit","?","Average","H","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","HI","PartInhibit","Weak","None","H","XNIL","XNIL","XNIL","LowMtsHighPl","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","DryMMoistL","MovingFtorOt","NegToPos","Moving","SWQuad","LVorOther","E_NE"
"StrongUp","Neutral","Neutral","StrongUp","StrongUp","Neutral","Dry","Dry","Wet","PC","PC","PC","PC","Weak","Strong","StrongWest","Weak","Weak","?","Marked","IncCapDecIns","Increasing","Negative","LittleChange","SVR","Jun15_Jul1","C","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Neutral","Average","Average","ACEFK","None","Moderate","Strong","C","SIG","SIG","SVR","LowEvrywhere","Steep","Average","Steep","StrongFront","Other","E_W_S","SigPositive","Other","NWQuad","LVorOther","LongAnticyc"
